Zip Code,# of Incidents,City,Population,County,# of Dispensaries,Incidents per capita
90813,3,Long Beach,58911.0,Los Angeles County,2,19637.0
90822,413,Long Beach,117.0,Los Angeles County,0,0.28329297820823246
91030,60,South Pasadena,25616.0,Los Angeles County,0,426.93333333333334
91040,295,Sunland,20372.0,Los Angeles County,0,69.05762711864406
91103,2,Pasadena,27480.0,Los Angeles County,0,13740.0
91201,13,Glendale,22781.0,Los Angeles County,1,1752.3846153846155
91203,5,Glendale,13220.0,Los Angeles County,0,2644.0
91204,103,Glendale,16032.0,Los Angeles County,0,155.6504854368932
91205,89,Glendale,37810.0,Los Angeles County,0,424.8314606741573
91206,5,Glendale,33065.0,Los Angeles County,0,6613.0
91214,60,La Crescenta,30356.0,Los Angeles County,0,505.93333333333334
91303,1354,Canoga Park,26855.0,Los Angeles County,3,19.833825701624814
91304,301,Canoga Park,50231.0,Los Angeles County,0,166.88039867109634
91306,859,Winnetka,45061.0,Los Angeles County,0,52.457508731082655
91307,19,West Hills,24474.0,Los Angeles County,0,1288.1052631578948
91311,38,Chatsworth,36557.0,Los Angeles County,4,962.0263157894736
91316,285,Encino,26898.0,Los Angeles County,1,94.37894736842105
91321,1,Newhall,34882.0,Los Angeles County,0,34882.0
91324,966,Northridge,27669.0,Los Angeles County,1,28.642857142857142
91325,624,Northridge,32417.0,Los Angeles County,0,51.95032051282051
91326,512,Porter Ranch,33708.0,Los Angeles County,0,65.8359375
91331,1361,Pacoima,103689.0,Los Angeles County,2,76.18589272593681
91335,1358,Reseda,74363.0,Los Angeles County,1,54.75920471281296
91340,836,San Fernando,34188.0,Los Angeles County,0,40.89473684210526
91342,326,Sylmar,91725.0,Los Angeles County,3,281.36503067484665
91343,1417,North Hills,60254.0,Los Angeles County,2,42.52223006351447
91344,528,Granada Hills,51747.0,Los Angeles County,0,98.00568181818181
91345,701,Mission Hills,18496.0,Los Angeles County,2,26.385164051355208
91352,214,Sun Valley,47807.0,Los Angeles County,5,223.39719626168224
91356,585,Tarzana,29458.0,Los Angeles County,1,50.355555555555554
91364,156,Woodland Hills,25851.0,Los Angeles County,4,165.71153846153845
91367,562,Woodland Hills,39499.0,Los Angeles County,3,70.2829181494662
91401,679,Van Nuys,39285.0,Los Angeles County,0,57.857142857142854
91402,1289,Panorama City,69817.0,Los Angeles County,0,54.16369278510473
91403,447,Sherman Oaks,23484.0,Los Angeles County,2,52.53691275167785
91405,2332,Van Nuys,51145.0,Los Angeles County,3,21.931818181818183
91406,874,Van Nuys,51558.0,Los Angeles County,3,58.9908466819222
91411,2653,Van Nuys,24628.0,Los Angeles County,1,9.283075763286845
91423,416,Sherman Oaks,30991.0,Los Angeles County,1,74.49759615384616
91436,123,Encino,14372.0,Los Angeles County,0,116.84552845528455
91501,1,Burbank,20849.0,Los Angeles County,0,20849.0
91504,52,Burbank,24939.0,Los Angeles County,0,479.59615384615387
91505,71,Burbank,30778.0,Los Angeles County,0,433.49295774647885
91506,4,Burbank,18904.0,Los Angeles County,0,4726.0
91601,1154,North Hollywood,37180.0,Los Angeles County,6,32.21837088388215
91602,525,North Hollywood,17473.0,Los Angeles County,3,33.28190476190476
91604,220,Studio City,29034.0,Los Angeles County,7,131.97272727272727
91605,1457,North Hollywood,56343.0,Los Angeles County,1,38.67055593685655
91606,1479,North Hollywood,44958.0,Los Angeles County,1,30.397565922920894
91607,429,Valley Village,27927.0,Los Angeles County,1,65.0979020979021
91608,196,Universal City,0.0,Los Angeles County,0,0.0
