Year,Community_Name,City,LACity,SPA,SD,DemogSurvCt,YouthSurvCt,SheltHmisCt,totStreetSingAdult,totStreetFamHH,totStreetFamMem,totCars,totVans,totCampers,totTents,totMakeshift,totCarPeople,totVanPeople,totCamperPeople,totTentPeople,totMakeshiftPeople,FamCarHH,FamVanHH,FamCamperHH,FamTentHH,FamMakeshiftHH,FamCarPeople,FamVanPeople,FamCamperPeople,FamTentPeople,FamMakeshiftPeople,IndCarPeople,IndVanPeople,IndCamperPeople,IndTentPeople,IndMakeshiftPeople,totESAdultSingAdult,totESAdultFamHH,totESAdultFamMem,totESYouthSingYouth,totESYouthFamHH,totESYouthFamMem,totESYouthUnaccYouth,totTHAdultSingAdult,totTHAdultFamHH,totTHAdultFamMem,totTHYouthSingYouth,totTHYouthFamHH,totTHYouthFamMem,totTHYouthUnaccYouth,totSHAdultSingAdult,totSHAdultFamHH,totSHAdultFamMem,totSHYouthSingYouth,totSHYouthFamHH,totSHYouthFamMem,totSHYouthUnaccYouth,totUnsheltPeople,totESPeople,totTHPeople,totSHPeople,totSheltPeople,totPeople
2018,Westlake Village,Westlake Village,0,2,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2018,Westmont / West Athens,Westmont / West Athens,0,8,2,1,2,4,71,0,0,5,2,6,2,0,8,3,11,3,0,0,0,0,0,0,1,0,1,0,0,7,3,10,3,0,0,0,0,0,0,0,0,0,0,0,13,0,0,0,0,0,0,0,0,0,0,96,0,13,0,13,109
2018,Westside,Los Angeles,1,5,3,1,0,0,32,0,0,7,8,7,4,6,11,13,13,6,10,0,0,0,0,0,1,1,1,0,0,10,12,12,6,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,85,0,0,0,0,85
2018,Westwood,Los Angeles,1,5,3,27,0,146,77,0,0,11,5,4,14,17,18,8,7,21,28,1,0,0,0,0,2,0,1,1,1,16,8,7,21,28,2,22,79,0,3,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,160,88,0,0,88,248
2018,Whittier,Whittier,0,7,4,0,7,77,82,0,0,13,6,12,1,12,21,10,22,2,20,1,0,1,0,0,2,0,2,0,0,19,9,20,1,20,23,7,25,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,156,48,0,0,48,204
2018,Whittier Narrows,Whittier Narrows,0,3,1,0,0,0,6,0,0,1,0,1,10,6,2,0,2,15,10,0,0,0,0,0,0,0,0,1,0,1,0,2,15,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,35,0,0,0,0,35
2018,Willowbrook,Willowbrook,0,6,2,68,8,0,45,0,0,67,23,115,1,0,108,37,211,2,0,4,1,5,0,0,12,2,16,0,0,96,36,194,1,0,15,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,403,15,0,0,15,418
2018,Wilmington,Los Angeles,1,8,4,63,3,0,160,0,0,18,16,118,3,22,29,26,216,5,37,1,0,5,0,0,3,1,17,0,1,26,25,199,4,36,65,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,473,65,0,0,65,538
2018,Wilshire Center-Koreatown,Los Angeles,1,4,2,38,1,19,108,0,0,17,23,6,45,36,28,37,11,69,60,1,1,0,1,1,3,2,1,3,1,24,36,10,66,59,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,313,0,0,0,0,313
2018,Winnetka,Los Angeles,1,2,3,12,6,0,18,0,0,16,3,31,1,9,26,5,57,2,15,1,0,1,0,0,3,0,4,0,0,23,5,52,1,15,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,122,0,0,0,0,122
2018,Woodland Hills,Los Angeles,1,2,3,24,0,0,26,0,0,18,7,18,0,5,29,11,33,0,8,1,0,1,0,0,3,0,3,0,0,26,11,30,0,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,108,0,0,0,0,108
