zipcode,Classification,City,Population,Timezone,Area Code(s)
90640,General,Montebello,"62,549",Pacific,323
90650,General,Norwalk,"105,549",Pacific,562
90660,General,Pico Rivera,"62,928",Pacific,562
90670,General,Santa Fe Springs,"14,866",Pacific,562
90701,General,Artesia,"16,591",Pacific,562
90703,General,Cerritos,"49,399",Pacific,562
90704,P.O. Box,Avalon,"4,090",Pacific,310/424/562
90706,General,Bellflower,"76,615",Pacific,562
90710,General,Harbor City,"25,457",Pacific,310/424
90712,General,Lakewood,"31,499",Pacific,562/310/657/323
90713,General,Lakewood,"27,925",Pacific,562/310/657/323
90715,General,Lakewood,"20,388",Pacific,562
90716,General,Hawaiian Gardens,"14,184",Pacific,562
90717,General,Lomita,"21,318",Pacific,310/424
90723,General,Paramount,"54,099",Pacific,562
90731,General,San Pedro,"59,662",Pacific,310/424/562
90732,General,San Pedro,"21,115",Pacific,310/424/562
90744,General,Wilmington,"53,815",Pacific,562/310/323/424
90745,General,Carson,"57,251",Pacific,562
90746,General,Carson,"25,990",Pacific,562
90755,General,Signal Hill,"11,074",Pacific,562
90802,General,Long Beach,"39,347",Pacific,562/310/424/714
90803,General,Long Beach,"32,031",Pacific,562
90804,General,Long Beach,"40,311",Pacific,562
90805,General,Long Beach,"93,524",Pacific,562/310
90806,General,Long Beach,"42,399",Pacific,562
90807,General,Long Beach,"31,481",Pacific,562/714
90808,General,Long Beach,"38,232",Pacific,562/310/657/714
90810,General,Long Beach,"36,735",Pacific,562
90813,General,Long Beach,"58,911",Pacific,562/310/714
90814,General,Long Beach,"19,131",Pacific,562
90815,General,Long Beach,"39,733",Pacific,562/714
90822,General,Long Beach,117,Pacific,562/310/714
91001,General,Altadena,"36,126",Pacific,626
91006,General,Arcadia,"31,715",Pacific,626
91007,General,Arcadia,"34,095",Pacific,626
91008,General,Duarte,"1,391",Pacific,626
91010,General,Duarte,"26,074",Pacific,626
91011,General,La Canada Flintridge,"20,280",Pacific,818
91016,General,Monrovia,"40,598",Pacific,626
91020,General,Montrose,"8,415",Pacific,818/747
91024,General,Sierra Madre,"10,917",Pacific,626
91030,General,South Pasadena,"25,616",Pacific,626/323
91040,General,Sunland,"20,372",Pacific,818/747
91042,General,Tujunga,"27,585",Pacific,818/747
91046,P.O. Box,Verdugo City,156,Pacific,818/747
91101,General,Pasadena,"20,460",Pacific,626/323
91103,General,Pasadena,"27,480",Pacific,626/323
91104,General,Pasadena,"36,751",Pacific,626
91105,General,Pasadena,"11,254",Pacific,626
91106,General,Pasadena,"24,229",Pacific,626
91107,General,Pasadena,"32,940",Pacific,626
91108,General,San Marino,"13,361",Pacific,626
91201,General,Glendale,"22,781",Pacific,818/747
91202,General,Glendale,"22,830",Pacific,818/747
91203,General,Glendale,"13,220",Pacific,818/747
91204,General,Glendale,"16,032",Pacific,818/747
91205,General,Glendale,"37,810",Pacific,818
91206,General,Glendale,"33,065",Pacific,323/626
91207,General,Glendale,"10,506",Pacific,818/747
91208,General,Glendale,"16,245",Pacific,818/747
91210,General,Glendale,328,Pacific,818/747
91214,General,La Crescenta,"30,356",Pacific,818/747
91301,General,Agoura Hills,"25,488",Pacific,818/747
91302,General,Calabasas,"25,709",Pacific,424/310
91303,General,Canoga Park,"26,855",Pacific,818/747
91304,General,Canoga Park,"50,231",Pacific,818/747
91306,General,Winnetka,"45,061",Pacific,818/747
91307,General,West Hills,"24,474",Pacific,818
91311,General,Chatsworth,"36,557",Pacific,818/747
91316,General,Encino,"26,898",Pacific,818
91321,General,Newhall,"34,882",Pacific,661
91324,General,Northridge,"27,669",Pacific,818/747
91325,General,Northridge,"32,417",Pacific,818/747
91326,General,Porter Ranch,"33,708",Pacific,818/747
91330,Unique,Northridge,"2,702",Pacific,818/747
91331,General,Pacoima,"103,689",Pacific,818/747
91335,General,Reseda,"74,363",Pacific,818/747
91340,General,San Fernando,"34,188",Pacific,818/747
91342,General,Sylmar,"91,725",Pacific,818/747
91343,General,North Hills,"60,254",Pacific,818/747
