,Zip Code,City,Population,County
985,90247,Gardena,47487.0,Los Angeles County
1459,91030,South Pasadena,25616.0,Los Angeles County
1506,91214,La Crescenta,30356.0,Los Angeles County
1729,90024,Los Angeles,47452.0,Los Angeles County
1830,90302,Inglewood,29415.0,Los Angeles County
1837,90027,Los Angeles,45151.0,Los Angeles County
2647,90293,Playa Del Rey,12132.0,Los Angeles County
2723,91604,Studio City,29034.0,Los Angeles County
2997,91311,Chatsworth,36557.0,Los Angeles County
3532,90049,Los Angeles,35482.0,Los Angeles County
3691,91203,Glendale,13220.0,Los Angeles County
3802,90067,Los Angeles,2424.0,Los Angeles County
3901,90402,Santa Monica,12250.0,Los Angeles County
3904,90272,Pacific Palisades,22986.0,Los Angeles County
4245,91504,Burbank,24939.0,Los Angeles County
6021,90058,Los Angeles,3223.0,Los Angeles County
6342,90502,Torrance,18010.0,Los Angeles County
6401,91321,Newhall,34882.0,Los Angeles County
10139,91307,West Hills,24474.0,Los Angeles County
12737,91206,Glendale,33065.0,Los Angeles County
13707,91201,Glendale,22781.0,Los Angeles County
14541,90266,Manhattan Beach,35135.0,Los Angeles County
19899,91506,Burbank,18904.0,Los Angeles County
21938,90212,Beverly Hills,11555.0,Los Angeles County
29911,90254,Hermosa Beach,19506.0,Los Angeles County
43934,91103,Pasadena,27480.0,Los Angeles County
53550,90813,Long Beach,58911.0,Los Angeles County
59853,90210,Beverly Hills,21741.0,Los Angeles County
71874,90804,Long Beach,40311.0,Los Angeles County
