zipcode,City,Name,Pop under 18yr(%),Median Age,Population_y,White(%),Black or African American(%),American Indian and Alaska Native(%),Asian(%),Native Hawaiian and Other Pacific Islander(%),Some other race(%),Hispanic or Latino(%),No schooling completed(%),Regular high school diploma(%),Median Household Income,Per Capita Income,Poverty Rate,Unemployment Rate,Home Median value (dollars),Land Area (square meters),Land Area (square miles),Lat,Lng
90001,Los Angeles,ZCTA5 90001,31.657530048690795,28.7,58738.0,32.367462290169904,9.16442507405768,0.7558990772583336,0.22472675269842352,0.020429704790765772,56.29234907555586,89.84132929279171,3.736933501310906,12.702168953658619,35660.0,11882.0,31.757976097245393,4.974633116551466,305500.0,9071081,3.502,33.974026,-118.24951000000001
90002,Los Angeles,ZCTA5 90002,32.111775389738156,27.7,52856.0,37.683517481459056,21.569925836234297,0.8797487513243529,0.5656879067655517,0.10405630392008476,38.17352807628273,76.42084153170879,3.032768276070834,13.877327077342212,34000.0,11807.0,33.666944150143784,5.032541244135008,272400.0,7930602,3.062,33.949099,-118.24673700000001
90003,Los Angeles,ZCTA5 90003,32.59327564193503,28.2,70490.0,29.767342885515674,22.383316782522343,0.739111930770322,0.2851468293374947,0.09646758405447581,45.70577386863385,76.76691729323308,3.176337069087814,13.34373670024117,34397.0,11305.0,32.92949354518371,5.440488012484041,300700.0,9197637,3.551,33.964131,-118.272783
90004,Los Angeles,ZCTA5 90004,19.39648988570609,35.1,62733.0,37.75843654854702,4.055281909043087,0.17056413689764557,25.074522181308083,0.5961774504646677,29.233417818373105,51.35096360767061,2.797570656592224,13.361388742766964,46581.0,30590.0,19.10477738989049,4.182806497377776,918500.0,7894527,3.048,34.076198,-118.310722
90005,Los Angeles,ZCTA5 90005,19.31651584854153,35.4,39562.0,20.335170112734442,6.228198776603811,0.829078408573884,34.82382083817805,0.1946312117688691,35.28638592588848,49.519741165765126,2.727364642839088,14.24093827410141,32461.0,21566.0,28.562762246600272,5.156463272837572,713400.0,2807558,1.084,34.059163,-118.30689199999999
90006,Los Angeles,ZCTA5 90006,23.966371993774967,33.2,62329.0,26.15636381138796,3.3531742848433312,1.110237610101237,18.1536684368432,0.1588345713873157,49.086300117120444,73.8644932535417,4.221149063838663,14.773219528630333,33790.0,15314.0,28.429783888719538,5.475781738837459,530500.0,4972251,1.92,34.048041,-118.294177
90007,Los Angeles,ZCTA5 90007,14.861357075277164,24.6,41221.0,29.83673370369472,10.962858737051503,0.6186167244850925,20.22512796875379,0.3420586594211688,34.95305790737731,49.69069163775745,2.979064069285073,9.235583804371558,23070.0,13013.0,40.059678319303266,5.885349700395429,523500.0,6389842,2.467,34.028127000000005,-118.28483
90008,Los Angeles,ZCTA5 90008,18.572885441453693,43.0,32359.0,18.368923637936895,66.72641305355542,0.29667171420624866,3.2417565437745295,0.16687783924101487,7.345715256960969,23.23928427948948,1.0136283568713496,13.510924317809573,36641.0,28926.0,22.272010877962853,5.537871998516642,566000.0,9513272,3.673,34.009552,-118.346724
90010,Los Angeles,ZCTA5 90010,6.544293695131684,38.8,3759.0,23.06464485235435,4.788507581803671,0.05320563979781857,66.21441872838521,0.0,3.2987496674647514,10.45490822027135,1.8888002128225592,15.137004522479383,47115.0,36598.0,14.232508645916468,4.761904761904762,816300.0,1184444,0.457,34.062148,-118.31588899999998
90011,Los Angeles,ZCTA5 90011,32.62718531064034,28.0,108051.0,40.91031087171798,8.366419561133169,0.9532535561910579,0.5728776226041407,0.20175657791228216,47.79409723186273,90.19259423790618,3.6047792246254082,10.952235518412602,33824.0,10887.0,35.94506297951893,3.6593830691062554,328500.0,11100438,4.2860000000000005,34.007090000000005,-118.25868100000001
90012,Los Angeles,ZCTA5 90012,10.117514726341652,35.5,33783.0,28.585383180889796,12.725335227777284,0.8643400526892224,40.42565787526271,0.2782464553177634,13.93304324660332,28.546902288133083,3.9753722286357043,12.035639226830062,38786.0,24502.0,22.292277180830595,2.8801468194062103,465100.0,8379976,3.236,34.065975,-118.238642
90013,Los Angeles,ZCTA5 90013,2.416994229321736,43.4,11957.0,35.68620891527975,30.74349753282596,1.1959521619135234,16.74333026678933,0.250899054946893,8.003679852805888,16.3418917788743,1.488667726018232,15.681190934180815,22808.0,37228.0,44.476039140252574,6.832817596387054,531900.0,1737688,0.6709999999999999,34.045405,-118.240454
90014,Los Angeles,ZCTA5 90014,1.187904967602592,40.5,7408.0,51.295896328293736,17.61609071274298,0.7964362850971922,16.144708423326133,0.17548596112311016,7.626889848812095,17.79157667386609,0.769438444924406,10.934125269978402,37619.0,46026.0,34.557235421166304,5.197084233261339,417200.0,733435,0.28300000000000003,34.043146,-118.251746
90015,Los Angeles,ZCTA5 90015,21.578243423985732,32.4,20187.0,33.41754594541041,6.776638430673206,0.6588398474265617,14.92049338683311,0.10402734433050974,42.10630603853966,64.56135136473968,2.883043542874127,7.742606628027938,32979.0,31423.0,36.72165254866994,4.319611631247833,617400.0,4430401,1.7109999999999999,34.039378,-118.2663
90016,Los Angeles,ZCTA5 90016,20.92089065503315,37.1,46303.0,39.23071939183206,32.96978597499082,0.6090318121935944,3.855041789948815,0.0,20.089411053279484,53.082953588320414,2.500917867092845,15.033583137161738,43443.0,23410.0,22.104399282983824,4.178994881541153,458100.0,9394067,3.627,34.028331,-118.35433799999998
