Name,Zipcode,Population,Median Age,Household Income,Per Capita Income,Poverty Rate,Unemployment Rate
ZCTA5 00728,728,40326.0,37.7,18097.0,9181.0,46.57541040519764,4.671923820859991
ZCTA5 00729,729,52244.0,38.9,20508.0,11066.0,41.99333894801317,9.491999081234209
ZCTA5 00730,730,32735.0,41.3,15367.0,10834.0,54.479914464640295,5.135176416679395
ZCTA5 00731,731,13862.0,39.8,16389.0,9432.0,54.97763670466022,3.2318568749098255
ZCTA5 00735,735,12749.0,40.7,18947.0,11580.0,43.76029492509216,3.7022511569534866
ZCTA5 00736,736,48476.0,41.3,20166.0,12391.0,44.630332535687764,4.466127568281212
ZCTA5 00738,738,31558.0,40.7,19284.0,11081.0,42.597756511819505,11.607199442296723
ZCTA5 00739,739,37380.0,38.5,20619.0,11107.0,42.20171214553237,5.976457998929909
ZCTA5 00740,740,1517.0,36.5,12934.0,7125.0,61.17336849044166,23.467369808833222
ZCTA5 00741,741,5168.0,41.0,22766.0,9385.0,42.143962848297214,8.630030959752322
ZCTA5 00745,745,52624.0,40.1,22909.0,10927.0,37.114244451200975,9.727500760109455
ZCTA5 00751,751,22174.0,39.5,16188.0,8951.0,53.57175069901687,2.6292053756651934
ZCTA5 00754,754,38636.0,40.1,18594.0,10482.0,45.56889947199503,3.8642716637333057
ZCTA5 00757,757,22475.0,37.2,16816.0,10478.0,49.143492769744164,3.506117908787542
ZCTA5 00765,765,8721.0,41.3,16149.0,11211.0,36.99117073730077,4.827428047242289
ZCTA5 00766,766,23931.0,37.8,19595.0,10406.0,49.95612385608625,9.581714094688897
ZCTA5 00767,767,35042.0,41.6,15573.0,8668.0,52.26299868728954,7.662233890759659
ZCTA5 00769,769,39605.0,39.4,19215.0,10328.0,48.18331018810756,2.5931069309430628
ZCTA5 00771,771,37705.0,38.0,20332.0,10254.0,45.77111788887415,7.152897493701101
ZCTA5 00772,772,20784.0,37.2,15032.0,7516.0,57.804080061585836,11.479984603541185
ZCTA5 00773,773,18952.0,39.8,19377.0,10434.0,45.636344449134654,11.191430983537357
ZCTA5 00775,775,1480.0,39.1,23092.0,11291.0,41.554054054054056,0.7432432432432432
ZCTA5 00777,777,40611.0,37.7,18684.0,9220.0,50.57989214744774,10.455295363325208
ZCTA5 00778,778,46852.0,38.3,32708.0,16622.0,30.65183983607957,6.450098181507727
ZCTA5 00780,780,11679.0,38.0,21834.0,14409.0,39.30987242058396,4.589434026885863
ZCTA5 00782,782,18196.0,37.7,13073.0,6996.0,58.12266432182897,8.315014288854693
ZCTA5 00783,783,34240.0,37.9,14476.0,7823.0,55.62207943925234,9.500584112149532
ZCTA5 00784,784,41417.0,37.6,15653.0,9317.0,51.94726803003598,1.909843783953449
ZCTA5 00786,786,249.0,65.8,-666666666.0,13990.0,20.481927710843372,0.0
ZCTA5 00791,791,49551.0,41.3,18595.0,11926.0,45.660027042844746,3.7133458456943353
ZCTA5 00794,794,29296.0,35.4,15667.0,7702.0,60.03891316220644,2.7205079191698527
ZCTA5 00795,795,45573.0,37.8,20430.0,10164.0,47.26482785860049,8.867092357316832
ZCTA5 00901,901,6540.0,41.3,16929.0,27466.0,42.11009174311926,4.250764525993884
ZCTA5 00906,906,91.0,41.2,101346.0,70076.0,15.384615384615385,0.0
ZCTA5 00907,907,16819.0,48.6,32601.0,38603.0,26.315476544384328,4.387894642963316
ZCTA5 00909,909,5430.0,38.7,17959.0,15141.0,47.84530386740332,6.906077348066298
ZCTA5 00911,911,7617.0,47.8,30978.0,28595.0,29.276618091111985,5.75029539188657
ZCTA5 00912,912,5920.0,42.4,21744.0,15777.0,41.4695945945946,9.20608108108108
ZCTA5 00913,913,8495.0,26.2,5902.0,7158.0,81.61271336080047,15.526780459093585
ZCTA5 00915,915,27534.0,38.9,14048.0,9136.0,59.620832425365,13.466986271518849
ZCTA5 00917,917,18316.0,45.9,15508.0,13829.0,51.29395064424547,6.158549901725268
ZCTA5 00918,918,16595.0,42.3,23333.0,20852.0,41.09068996685749,4.230189816209702
ZCTA5 00920,920,16698.0,45.0,25433.0,14906.0,31.68642951251647,3.0303030303030303
ZCTA5 00921,921,35161.0,38.7,18690.0,12707.0,45.5590000284406,3.848013423964051
ZCTA5 00923,923,24754.0,39.3,14041.0,10907.0,57.39678435808354,8.15221782338208
ZCTA5 00924,924,51699.0,38.2,19303.0,12558.0,45.66626046925472,9.098822027505367
ZCTA5 00925,925,6796.0,34.6,9903.0,10804.0,60.99175985874044,13.066509711595057
ZCTA5 00926,926,99106.0,43.0,33624.0,22687.0,29.67832421851351,3.778782313886142
ZCTA5 00927,927,13503.0,45.9,32932.0,25107.0,26.697770865733542,4.576760719840036
ZCTA5 00934,934,25.0,-666666666.0,-666666666.0,,0.0,0.0
ZCTA5 00936,936,749.0,72.1,-666666666.0,8875.0,0.0,0.0
ZCTA5 00949,949,76058.0,39.0,26032.0,12924.0,34.10949538510084,7.830865918115123
ZCTA5 00950,950,0.0,-666666666.0,-666666666.0,-666666666.0,,
ZCTA5 00951,951,0.0,-666666666.0,-666666666.0,-666666666.0,,
ZCTA5 00952,952,8467.0,42.3,15434.0,8998.0,47.041455060824376,8.645328924058107
